76,Callaita,"Bad Bunny",8184936,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
77,"7 rings","Ariana Grande",8157525,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
78,"Watermelon Sugar","Harry Styles",8152387,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
79,"Second Emotion (feat. Travis Scott)","Justin Bieber",8109572,https://open.spotify.com/track/1PnAx788sAvcI3ZxTlEyX8
80,Lalala,Y2K,7947351,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
81,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",7868877,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
82,Run,Joji,7677851,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
83,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,7668491,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
84,"It's You","Ali Gatie",7538726,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
85,"Running Over (feat. Lil Dicky)","Justin Bieber",7493188,https://open.spotify.com/track/75nKBP8jQu681pTNCtrEnn
86,Available,"Justin Bieber",7473249,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA
87,"Ayy Macarena",Tyga,7462886,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
88,Medusa,"Jhay Cortez",7422252,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
89,"Never Seen the Rain","Tones and I",7399078,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
90,"Old Town Road - Remix","Lil Nas X",7390917,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
91,"How Do You Sleep?","Sam Smith",7385594,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
92,"Whine Up","Nicky Jam",7368659,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
93,"Alone, Pt. II","Alan Walker",7342972,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
94,"Goodbyes (Feat. Young Thug)","Post Malone",7261924,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
95,"OUT WEST (feat. Young Thug)",JACKBOYS,7243756,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
96,"Breathe Deeper","Tame Impala",7142364,https://open.spotify.com/track/3LbZIhU0smEU5SUnxod4j4
97,Happier,Marshmello,7091358,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
98,Woah,"Lil Baby",7036037,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
99,Heartless,"The Weeknd",6975894,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
100,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,6970485,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
